timestamp,phase,mode,status,gross_profit_usd,gas_cost_usd,slippage_cost_usd,other_fees_usd,net_profit_usd,equity_start_usd,equity_end_usd,notes
2026-04-25T04:53:55.825Z,sim,sim,success,17.940000,2.500000,0.000000,0.000000,15.440000,1000.000000,1015.440000,sim-batch-0
2026-04-25T04:53:55.991Z,sim,sim,success,16.870000,2.500000,0.000000,0.000000,14.370000,1015.440000,1029.810000,sim-batch-1
2026-04-25T04:53:56.158Z,sim,sim,success,15.380000,2.500000,0.000000,0.000000,12.880000,1029.810000,1042.690000,sim-batch-2
2026-04-25T04:53:56.310Z,sim,sim,success,17.430000,2.500000,0.000000,0.000000,14.930000,1042.690000,1057.620000,sim-batch-3
2026-04-25T04:53:56.496Z,sim,sim,success,15.580000,2.500000,0.000000,0.000000,13.080000,1057.620000,1070.700000,sim-batch-4
2026-04-25T04:53:56.674Z,sim,sim,success,16.910000,2.500000,0.000000,0.000000,14.410000,1070.700000,1085.110000,sim-batch-5
2026-04-25T04:53:56.872Z,sim,sim,success,18.920000,2.500000,0.000000,0.000000,16.420000,1085.110000,1101.530000,sim-batch-6
2026-04-25T04:53:57.060Z,sim,sim,success,16.040000,2.500000,0.000000,0.000000,13.540000,1101.530000,1115.080000,sim-batch-7
2026-04-25T04:53:57.211Z,sim,sim,success,16.340000,2.500000,0.000000,0.000000,13.840000,1115.080000,1128.920000,sim-batch-8
2026-04-25T04:53:57.360Z,sim,sim,success,19.710000,2.500000,0.000000,0.000000,17.210000,1128.920000,1146.130000,sim-batch-9
2026-04-25T04:53:57.641Z,sim,sim,success,18.370000,2.500000,0.000000,0.000000,15.870000,1146.130000,1162.000000,sim-batch-10
2026-04-25T04:53:57.833Z,sim,sim,success,18.850000,2.500000,0.000000,0.000000,16.350000,1162.000000,1178.340000,sim-batch-11
2026-04-25T04:53:58.015Z,sim,sim,success,15.470000,2.500000,0.000000,0.000000,12.970000,1178.340000,1191.310000,sim-batch-12
2026-04-25T04:53:58.192Z,sim,sim,success,19.930000,2.500000,0.000000,0.000000,17.430000,1191.310000,1208.740000,sim-batch-13
2026-04-25T04:53:58.353Z,sim,sim,success,17.190000,2.500000,0.000000,0.000000,14.690000,1208.740000,1223.430000,sim-batch-14
2026-04-25T04:53:58.510Z,sim,sim,success,16.950000,2.500000,0.000000,0.000000,14.450000,1223.430000,1237.880000,sim-batch-15
2026-04-25T04:53:58.677Z,sim,sim,success,16.970000,2.500000,0.000000,0.000000,14.470000,1237.880000,1252.350000,sim-batch-16
2026-04-25T04:53:58.852Z,sim,sim,success,18.740000,2.500000,0.000000,0.000000,16.240000,1252.350000,1268.590000,sim-batch-17
2026-04-25T04:53:59.017Z,sim,sim,success,18.650000,2.500000,0.000000,0.000000,16.150000,1268.590000,1284.740000,sim-batch-18
2026-04-25T04:53:59.215Z,sim,sim,success,19.250000,2.500000,0.000000,0.000000,16.750000,1284.740000,1301.490000,sim-batch-19
2026-04-25T04:53:59.380Z,sim,sim,success,15.600000,2.500000,0.000000,0.000000,13.100000,1301.490000,1314.590000,sim-batch-20
2026-04-25T04:53:59.555Z,sim,sim,success,18.610000,2.500000,0.000000,0.000000,16.110000,1314.590000,1330.700000,sim-batch-21
2026-04-25T04:53:59.726Z,sim,sim,success,16.480000,2.500000,0.000000,0.000000,13.980000,1330.700000,1344.680000,sim-batch-22
2026-04-25T04:53:59.922Z,sim,sim,success,15.750000,2.500000,0.000000,0.000000,13.250000,1344.680000,1357.930000,sim-batch-23
2026-04-25T04:54:00.122Z,sim,sim,success,16.910000,2.500000,0.000000,0.000000,14.410000,1357.930000,1372.340000,sim-batch-24
2026-04-25T04:54:00.295Z,sim,sim,success,15.490000,2.500000,0.000000,0.000000,12.990000,1372.340000,1385.330000,sim-batch-25
2026-04-25T04:54:00.470Z,sim,sim,success,19.350000,2.500000,0.000000,0.000000,16.850000,1385.330000,1402.180000,sim-batch-26
2026-04-25T04:54:00.650Z,sim,sim,success,16.080000,2.500000,0.000000,0.000000,13.580000,1402.180000,1415.760000,sim-batch-27
2026-04-25T04:54:00.823Z,sim,sim,success,17.800000,2.500000,0.000000,0.000000,15.300000,1415.760000,1431.060000,sim-batch-28
2026-04-25T04:54:00.993Z,sim,sim,failed,0.000000,2.500000,0.000000,0.000000,-2.770000,1431.060000,1428.290000,sim-batch-29
2026-04-25T04:54:01.157Z,sim,sim,success,16.380000,2.500000,0.000000,0.000000,13.880000,1428.290000,1442.170000,sim-batch-30
2026-04-25T04:54:01.355Z,sim,sim,success,15.660000,2.500000,0.000000,0.000000,13.160000,1442.170000,1455.330000,sim-batch-31
2026-04-25T04:54:01.518Z,sim,sim,success,17.170000,2.500000,0.000000,0.000000,14.670000,1455.330000,1470.000000,sim-batch-32
2026-04-25T04:54:01.679Z,sim,sim,success,18.110000,2.500000,0.000000,0.000000,15.610000,1470.000000,1485.620000,sim-batch-33
2026-04-25T04:54:01.847Z,sim,sim,success,18.420000,2.500000,0.000000,0.000000,15.920000,1485.620000,1501.530000,sim-batch-34
2026-04-25T04:54:02.009Z,sim,sim,success,16.700000,2.500000,0.000000,0.000000,14.200000,1501.530000,1515.730000,sim-batch-35
2026-04-25T04:54:02.174Z,sim,sim,success,17.430000,2.500000,0.000000,0.000000,14.930000,1515.730000,1530.650000,sim-batch-36
2026-04-25T04:54:02.335Z,sim,sim,success,16.360000,2.500000,0.000000,0.000000,13.860000,1530.650000,1544.510000,sim-batch-37
2026-04-25T04:54:02.503Z,sim,sim,success,17.340000,2.500000,0.000000,0.000000,14.840000,1544.510000,1559.350000,sim-batch-38
2026-04-25T04:54:02.666Z,sim,sim,success,17.190000,2.500000,0.000000,0.000000,14.690000,1559.350000,1574.050000,sim-batch-39
2026-04-25T04:54:02.872Z,sim,sim,success,15.120000,2.500000,0.000000,0.000000,12.620000,1574.050000,1586.670000,sim-batch-40
2026-04-25T04:54:03.043Z,sim,sim,success,18.230000,2.500000,0.000000,0.000000,15.730000,1586.670000,1602.400000,sim-batch-41
2026-04-25T04:54:03.212Z,sim,sim,success,19.050000,2.500000,0.000000,0.000000,16.550000,1602.400000,1618.950000,sim-batch-42
2026-04-25T04:54:03.371Z,sim,sim,success,16.060000,2.500000,0.000000,0.000000,13.560000,1618.950000,1632.510000,sim-batch-43
2026-04-25T04:54:03.570Z,sim,sim,success,19.310000,2.500000,0.000000,0.000000,16.810000,1632.510000,1649.320000,sim-batch-44
2026-04-25T04:54:03.734Z,sim,sim,success,17.820000,2.500000,0.000000,0.000000,15.320000,1649.320000,1664.630000,sim-batch-45
2026-04-25T04:54:03.909Z,sim,sim,success,18.410000,2.500000,0.000000,0.000000,15.910000,1664.630000,1680.550000,sim-batch-46
2026-04-25T04:54:04.068Z,sim,sim,success,15.730000,2.500000,0.000000,0.000000,13.230000,1680.550000,1693.780000,sim-batch-47
2026-04-25T04:54:04.234Z,sim,sim,success,18.360000,2.500000,0.000000,0.000000,15.860000,1693.780000,1709.640000,sim-batch-48
2026-04-25T04:54:04.398Z,sim,sim,success,19.860000,2.500000,0.000000,0.000000,17.360000,1709.640000,1727.000000,sim-batch-49
2026-04-25T04:54:04.562Z,sim,sim,success,15.670000,2.500000,0.000000,0.000000,13.170000,1727.000000,1740.170000,sim-batch-50
2026-04-25T04:54:04.804Z,sim,sim,success,17.000000,2.500000,0.000000,0.000000,14.500000,1740.170000,1754.670000,sim-batch-51
2026-04-25T04:54:05.029Z,sim,sim,success,15.520000,2.500000,0.000000,0.000000,13.020000,1754.670000,1767.690000,sim-batch-52
2026-04-25T04:54:05.251Z,sim,sim,success,17.930000,2.500000,0.000000,0.000000,15.430000,1767.690000,1783.130000,sim-batch-53
2026-04-25T04:54:05.449Z,sim,sim,success,16.620000,2.500000,0.000000,0.000000,14.120000,1783.130000,1797.250000,sim-batch-54
2026-04-25T04:54:05.692Z,sim,sim,success,17.930000,2.500000,0.000000,0.000000,15.430000,1797.250000,1812.670000,sim-batch-55
2026-04-25T04:54:05.863Z,sim,sim,success,16.190000,2.500000,0.000000,0.000000,13.690000,1812.670000,1826.360000,sim-batch-56
2026-04-25T04:54:06.029Z,sim,sim,success,16.110000,2.500000,0.000000,0.000000,13.610000,1826.360000,1839.970000,sim-batch-57
2026-04-25T04:54:06.304Z,sim,sim,success,17.740000,2.500000,0.000000,0.000000,15.240000,1839.970000,1855.210000,sim-batch-58
2026-04-25T04:54:06.464Z,sim,sim,success,15.320000,2.500000,0.000000,0.000000,12.820000,1855.210000,1868.030000,sim-batch-59
2026-04-25T04:54:06.631Z,sim,sim,success,15.990000,2.500000,0.000000,0.000000,13.490000,1868.030000,1881.520000,sim-batch-60
2026-04-25T04:54:06.800Z,sim,sim,success,16.980000,2.500000,0.000000,0.000000,14.480000,1881.520000,1896.000000,sim-batch-61
2026-04-25T04:54:06.966Z,sim,sim,success,17.240000,2.500000,0.000000,0.000000,14.740000,1896.000000,1910.740000,sim-batch-62
2026-04-25T04:54:07.131Z,sim,sim,success,15.360000,2.500000,0.000000,0.000000,12.860000,1910.740000,1923.600000,sim-batch-63
2026-04-25T04:54:07.296Z,sim,sim,success,17.350000,2.500000,0.000000,0.000000,14.850000,1923.600000,1938.450000,sim-batch-64
2026-04-25T04:54:07.460Z,sim,sim,success,18.640000,2.500000,0.000000,0.000000,16.140000,1938.450000,1954.590000,sim-batch-65
2026-04-25T04:54:07.621Z,sim,sim,success,18.070000,2.500000,0.000000,0.000000,15.570000,1954.590000,1970.160000,sim-batch-66
2026-04-25T04:54:07.817Z,sim,sim,success,16.300000,2.500000,0.000000,0.000000,13.800000,1970.160000,1983.950000,sim-batch-67
2026-04-25T04:54:07.992Z,sim,sim,failed,0.000000,2.500000,0.000000,0.000000,-2.610000,1983.950000,1981.350000,sim-batch-68
2026-04-25T04:54:08.147Z,sim,sim,success,15.560000,2.500000,0.000000,0.000000,13.060000,1981.350000,1994.400000,sim-batch-69
2026-04-25T04:54:08.314Z,sim,sim,success,19.520000,2.500000,0.000000,0.000000,17.020000,1994.400000,2011.420000,sim-batch-70
2026-04-25T04:54:08.477Z,sim,sim,success,17.950000,2.500000,0.000000,0.000000,15.450000,2011.420000,2026.870000,sim-batch-71
2026-04-25T04:54:08.637Z,sim,sim,success,18.040000,2.500000,0.000000,0.000000,15.540000,2026.870000,2042.420000,sim-batch-72
2026-04-25T04:54:08.817Z,sim,sim,success,15.890000,2.500000,0.000000,0.000000,13.390000,2042.420000,2055.810000,sim-batch-73
2026-04-25T04:54:08.982Z,sim,sim,success,19.310000,2.500000,0.000000,0.000000,16.810000,2055.810000,2072.620000,sim-batch-74
2026-04-25T04:54:09.181Z,sim,sim,success,17.640000,2.500000,0.000000,0.000000,15.140000,2072.620000,2087.760000,sim-batch-75
2026-04-25T04:54:09.363Z,sim,sim,success,16.210000,2.500000,0.000000,0.000000,13.710000,2087.760000,2101.480000,sim-batch-76
2026-04-25T04:54:09.561Z,sim,sim,success,17.320000,2.500000,0.000000,0.000000,14.820000,2101.480000,2116.300000,sim-batch-77
2026-04-25T04:54:09.733Z,sim,sim,success,18.430000,2.500000,0.000000,0.000000,15.930000,2116.300000,2132.230000,sim-batch-78
2026-04-25T04:54:09.929Z,sim,sim,failed,0.000000,2.500000,0.000000,0.000000,-3.350000,2132.230000,2128.880000,sim-batch-79
2026-04-25T04:54:10.125Z,sim,sim,success,18.390000,2.500000,0.000000,0.000000,15.890000,2128.880000,2144.770000,sim-batch-80
2026-04-25T04:54:10.290Z,sim,sim,success,18.360000,2.500000,0.000000,0.000000,15.860000,2144.770000,2160.630000,sim-batch-81
2026-04-25T04:54:10.572Z,sim,sim,success,19.600000,2.500000,0.000000,0.000000,17.100000,2160.630000,2177.730000,sim-batch-82
2026-04-25T04:54:10.771Z,sim,sim,success,18.070000,2.500000,0.000000,0.000000,15.570000,2177.730000,2193.300000,sim-batch-83
2026-04-25T04:54:10.938Z,sim,sim,success,18.650000,2.500000,0.000000,0.000000,16.150000,2193.300000,2209.450000,sim-batch-84
2026-04-25T04:54:11.136Z,sim,sim,success,18.860000,2.500000,0.000000,0.000000,16.360000,2209.450000,2225.810000,sim-batch-85
2026-04-25T04:54:11.351Z,sim,sim,success,19.860000,2.500000,0.000000,0.000000,17.360000,2225.810000,2243.170000,sim-batch-86
2026-04-25T04:54:11.553Z,sim,sim,success,15.190000,2.500000,0.000000,0.000000,12.690000,2243.170000,2255.860000,sim-batch-87
